name,smiles
CHEMBL74424,Cc1cncn1CC#CCN1CCOC1=O
CHEMBL47521,CC1CN(c2ccc(C(C)C)cc2)C(=O)O1
CHEMBL37965,CN1CCC(OC(=O)c2ccccc2)CC1
CHEMBL21349,O=C(O)CNc1cc(Cl)cc(Cl)c1
SNAP (S-NITROSO-N-ACETYLPENICILLAMINE),CC(=O)NC(C(=O)O)C(C)(C)SN=O
CHEMBL309829,COC(=O)N(C)CC#CCn1cncc1C
CHEMBL310020,CCOC(=O)N(C)CC#CCn1ccnc1
CHEMBL9942,CC(C)N(C)/N=N/c1ccc(C(=O)O)cc1
CHEMBL9731,CCCN(C)/N=N/c1ccc(C(=O)O)cc1
CHEMBL49010,CC(=N)Nc1cccc(CC(N)C(=O)O)c1
CHEMBL52280,CC(=N)Nc1ccccc1CC(N)C(=O)O
CHEMBL309080,COC(=O)N(C)C(C)C#CCn1ccnc1
CARBOFURAN,CNC(=O)Oc1cccc2c1OC(C)(C)C2
CHEMBL27745,CCCCCCNc1ccc(C(=O)O)cc1
CHEMBL19807,CNC(=O)OCn1oc(=O)c2ccccc21
CHEMBL77379,CNC(=O)CNC(=O)OCc1ccccc1
CHEMBL49934,N=C(N)Nc1cccc(CC(N)C(=O)O)c1
CHEMBL298404,NC(N)=Nc1ccccc1CC(N)C(=O)O
CHEMBL8137,NC(/C=C(\Cl)CC(N)C(=O)O)C(=O)O
CHEMBL45167,NC(C(=O)O)C1CC1CCP(=O)(O)O
CHEMBL283915,O=C(O)CCCNc1ccc(C(=O)O)cc1
CHEMBL16897,O=C(O)CCCNC(=O)c1ccccc1O
CHEMBL39613,COc1cc2c(cc1O)C(C(=O)O)NCC2
CHEMBL37400,O=C(O)CC1Sc2ccccc2NC1=O
CHEMBL8770,O=C(O)C1CSC(c2ccccc2O)=N1
CHEMBL295705,CCOC(=O)c1ncn2ccc(S)nc12
CHEMBL16524,O=C(NCC1CC1)OCCCc1c[nH]cn1
CHEMBL46711,CSc1ccc(N2CC(C)OC2=O)cc1
NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
CHEMBL12435,CC(NC(=O)N(CCCl)N=O)C(=O)O
CHEMBL22274,O=C(O)c1cc(O)c2cc(Cl)ccc2n1
CHEMBL21826,O=C(O)c1cc(O)c2cccc(Cl)c2n1
CHEMBL22493,O=C(O)c1cc(O)c2c(Cl)cccc2n1
7-CHLOROKYNURENIC ACID,O=C(O)c1cc(O)c2ccc(Cl)cc2n1
CHEMBL29244,O=C(O)C1CN(CP(=O)(O)O)CCN1
CHEMBL8682,O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1
CHEMBL11165,O=C(O)C1CSC(c2ncccc2O)=N1
